,Weight Class,Victory Type (L),Victory Type (S),Winner Score,Loser Score,Winner First Name,Winner Last Name,Winner School (L),Winner School (S),Loser First Name,Loser Last Name,Loser School (L),Loser School (S),Unknown (Seed?),Round,Event Name,Event ID,Winner Full Name,Loser Full Name
38,160,Decision,Dec,2,5,Vincent,Chen,Brooklyn Technical-PSAL,BTP,Alexander,Shavishvili,Midwood-PSAL,MIPS,10,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Vincent Chen,Alexander Shavishvili
39,160,Fall,Fall,0,0,Vincent,Chen,Brooklyn Technical-PSAL,BTP,Doston,Ashurov,New Utrecht-PSAL,NUP,10,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Vincent Chen,Doston Ashurov
40,170,Fall,Fall,0,0,Max,Gwertzman,Brooklyn Technical-PSAL,BTP,Timothy,Peng,Stuyvesant-PSAL,STPS,11,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Max Gwertzman,Timothy Peng
41,170,Fall,Fall,0,0,Max,Gwertzman,Brooklyn Technical-PSAL,BTP,Adrian,Criollo,Brooklyn Technical-PSAL,BTP,11,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Max Gwertzman,Adrian Criollo
42,170,Technical Fall,TF,15,0,Max,Gwertzman,Brooklyn Technical-PSAL,BTP,Islom,Nurullaev,Franklin D Roosevelt-PSAL,FDRP,11,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Max Gwertzman,Islom Nurullaev
43,170,Technical Fall,TF,15,0,Max,Gwertzman,Brooklyn Technical-PSAL,BTP,Kevin,Hernandez,Thomas Edison-PSAL,TEP,11,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Max Gwertzman,Kevin Hernandez
44,170,Decision,Dec,12,10,Adrian,Criollo,Brooklyn Technical-PSAL,BTP,Nicholas,Sotir,Metropolitan Campus - PSAL,MCP,11,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Adrian Criollo,Nicholas Sotir
45,170,Fall,Fall,0,0,Max,Gwertzman,Brooklyn Technical-PSAL,BTP,Adrian,Criollo,Brooklyn Technical-PSAL,BTP,11,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Max Gwertzman,Adrian Criollo
46,170,Decision,Dec,4,7,Adrian,Criollo,Brooklyn Technical-PSAL,BTP,Jakeem,Park,Erasmus Hall Campus HS - PSAL,EHCH,11,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Adrian Criollo,Jakeem Park
47,182,Fall,Fall,0,0,Andrew,Grechko,Brooklyn Technical-PSAL,BTP,Tony,Li,Franklin D Roosevelt-PSAL,FDRP,12,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Andrew Grechko,Tony Li
48,182,Decision,Dec,7,0,Andrew,Grechko,Brooklyn Technical-PSAL,BTP,Saul,Abreu,Forest Hills HS - PSAL,FHHP,12,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Andrew Grechko,Saul Abreu
49,182,Fall,Fall,0,0,Andrew,Grechko,Brooklyn Technical-PSAL,BTP,Quincy,Brown-Lawler,Springfield Gardens-PSAL,SGP,12,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Andrew Grechko,Quincy Brown-Lawler
50,182,Major Decision,MD,0,9,Fabian,Rodriguez,Murry Bergtraum-PSAL,MBP,Andrew,Grechko,Brooklyn Technical-PSAL,BTP,12,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Fabian Rodriguez,Andrew Grechko
51,195,Fall,Fall,0,0,Mohammad,Wara,Brooklyn Technical-PSAL,BTP,Raul,Yanez,Queens  Complex-PSAL,QCP,13,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mohammad Wara,Raul Yanez
52,195,Decision,Dec,3,2,Mohammad,Wara,Brooklyn Technical-PSAL,BTP,Eri,Dumesh,McKee-Staten Island Tech-PSAL,MSIT,13,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mohammad Wara,Eri Dumesh
53,195,Fall,Fall,0,0,Mohammad,Wara,Brooklyn Technical-PSAL,BTP,Anthony,Cascen,Harry S Truman -PSAL,HSTP,13,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mohammad Wara,Anthony Cascen
54,195,Decision,Dec,8,6,Mohammad,Wara,Brooklyn Technical-PSAL,BTP,Elijah,Thompson,Herbert H Lehman-PSAL,HHLP,13,Cons. Semis,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mohammad Wara,Elijah Thompson
55,195,Fall,Fall,0,0,Mohammad,Wara,Brooklyn Technical-PSAL,BTP,Darryl,Harris,Grand Street Campus-PSAL,GSCP,13,3rd Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mohammad Wara,Darryl Harris
56,220,Decision,Dec,12,13,Daniel,Borisow,Brooklyn Technical-PSAL,BTP,Anekin,Salavarria,Metropolitan Campus - PSAL,MCP,14,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Daniel Borisow,Anekin Salavarria
57,220,Decision,Dec,8,4,Daniel,Borisow,Brooklyn Technical-PSAL,BTP,Ulaan,Hyder,Thomas Edison-PSAL,TEP,14,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Daniel Borisow,Ulaan Hyder
58,220,Major Decision,MD,11,1,Daniel,Borisow,Brooklyn Technical-PSAL,BTP,Erison,Estevez,Grand Street Campus-PSAL,GSCP,14,Cons. Round 3,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Daniel Borisow,Erison Estevez
59,220,Decision,Dec,10,6,Daniel,Borisow,Brooklyn Technical-PSAL,BTP,Donovan,Burgos,Kipp NYC College Prep - PSAL,KNCP,14,Cons. Semis,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Daniel Borisow,Donovan Burgos
60,220,Decision,Dec,1,2,Daniel,Borisow,Brooklyn Technical-PSAL,BTP,Lovepreet,Singh,Aviation-PSAL,AVPS,14,3rd Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Daniel Borisow,Lovepreet Singh
61,285,Fall,Fall,0,0,Amimul,Arnab,Brooklyn Technical-PSAL,BTP,Gilberto,Martinez,New Utrecht-PSAL,NUP,15,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Amimul Arnab,Gilberto Martinez
62,285,Fall,Fall,0,0,Amimul,Arnab,Brooklyn Technical-PSAL,BTP,Harley,Gezlev,Tottenville-PSAL,TOPS,15,Cons. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Amimul Arnab,Harley Gezlev
63,285,Fall,Fall,0,0,Amimul,Arnab,Brooklyn Technical-PSAL,BTP,Jahan,Okata Harrison,Bronx HS of Science-PSAL,BHOS,15,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Amimul Arnab,Jahan Okata Harrison
64,132,Fall,Fall,0,0,Jayden,Cardenas,Grand Street Campus-PSAL,GSCP,Destan,Mcfarlane,Curtis-PSAL,CUPS,6,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jayden Cardenas,Destan Mcfarlane
65,132,Decision,Dec,3,10,Jerimah,Jackson,Martin L. King-PSAL,MLKP,Destan,Mcfarlane,Curtis-PSAL,CUPS,6,3rd Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jerimah Jackson,Destan Mcfarlane
66,182,Fall,Fall,0,0,Victor,Urgiles,Martin L. King-PSAL,MLKP,Andrew,Gyamfi,Curtis-PSAL,CUPS,12,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Victor Urgiles,Andrew Gyamfi
67,99,Fall,Fall,0,0,Jared,Apellaniz,Metropolitan Campus - PSAL,MCP,Anthony,Serkov,Edward R. Murrow  - PSAL,ERMP,1,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jared Apellaniz,Anthony Serkov
68,106,Major Decision,MD,11,0,Salvatore,Esposito,Tottenville-PSAL,TOPS,Vadym,Mysiv,Edward R. Murrow  - PSAL,ERMP,2,Champ. Round 3,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Salvatore Esposito,Vadym Mysiv
69,106,Decision,Dec,5,0,James,Wong,Brooklyn Technical-PSAL,BTP,Vadym,Mysiv,Edward R. Murrow  - PSAL,ERMP,2,3rd Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,James Wong,Vadym Mysiv
70,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Max,Takoudes,Edward R. Murrow  - PSAL,ERMP,3,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mian Hamid,Max Takoudes
71,138,Fall,Fall,0,0,Guy,Rozenman,Tottenville-PSAL,TOPS,Erick,Rodriquez,Edward R. Murrow  - PSAL,ERMP,7,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Guy Rozenman,Erick Rodriquez
72,138,Technical Fall,TF,2,18,Joseph,Perez,Martin L. King-PSAL,MLKP,Max,Ebanks,Edward R. Murrow  - PSAL,ERMP,7,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Joseph Perez,Max Ebanks
73,195,Fall,Fall,0,0,Anthony,Cascen,Harry S Truman -PSAL,HSTP,Davit,Abjandadze,Edward R. Murrow  - PSAL,ERMP,13,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Anthony Cascen,Davit Abjandadze
74,195,Fall,Fall,0,0,Anthony,Cascen,Harry S Truman -PSAL,HSTP,Davit,Abjandadze,Edward R. Murrow  - PSAL,ERMP,13,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Anthony Cascen,Davit Abjandadze
75,170,Decision,Dec,4,7,Adrian,Criollo,Brooklyn Technical-PSAL,BTP,Jakeem,Park,Erasmus Hall Campus HS - PSAL,EHCH,11,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Adrian Criollo,Jakeem Park
76,99,Technical Fall,TF,15,0,Jacob,Levin,Tottenville-PSAL,TOPS,Larry,Cazales,Flushing-PSAL,FLPS,1,Champ. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jacob Levin,Larry Cazales
77,182,Fall,Fall,0,0,Victor,Urgiles,Martin L. King-PSAL,MLKP,Saul,Abreu,Forest Hills HS - PSAL,FHHP,12,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Victor Urgiles,Saul Abreu
78,182,Decision,Dec,7,0,Andrew,Grechko,Brooklyn Technical-PSAL,BTP,Saul,Abreu,Forest Hills HS - PSAL,FHHP,12,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Andrew Grechko,Saul Abreu
79,182,Fall,Fall,0,0,Victor,Urgiles,Martin L. King-PSAL,MLKP,John,Douveas,Francis Lewis-PSAL,FLP,12,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Victor Urgiles,John Douveas
80,132,Fall,Fall,0,0,Jerimah,Jackson,Martin L. King-PSAL,MLKP,Shakeeme,Thompson,Frank J. Macchiarola Edu Complex-PSAL,FJMEC,6,Cons. Semis,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jerimah Jackson,Shakeeme Thompson
81,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Francisco,Murial,Franklin D Roosevelt-PSAL,FDRP,3,Cons. Round 3,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mian Hamid,Francisco Murial
82,120,Fall,Fall,0,0,Isaias,Torres,Grand Street Campus-PSAL,GSCP,Timur,Ulmasov,Franklin D Roosevelt-PSAL,FDRP,4,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Isaias Torres,Timur Ulmasov
83,138,Decision,Dec,3,2,Guy,Rozenman,Tottenville-PSAL,TOPS,Saidjon,Kakhramonov,Franklin D Roosevelt-PSAL,FDRP,7,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Guy Rozenman,Saidjon Kakhramonov
84,170,Technical Fall,TF,15,0,Max,Gwertzman,Brooklyn Technical-PSAL,BTP,Islom,Nurullaev,Franklin D Roosevelt-PSAL,FDRP,11,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Max Gwertzman,Islom Nurullaev
85,182,Fall,Fall,0,0,Andrew,Grechko,Brooklyn Technical-PSAL,BTP,Tony,Li,Franklin D Roosevelt-PSAL,FDRP,12,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Andrew Grechko,Tony Li
86,220,Fall,Fall,0,0,Muhamed,Diop,Martin L. King-PSAL,MLKP,Youssouf,Kaba,Frederick Douglass Academy - PSAL,FDAP,14,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Muhamed Diop,Youssouf Kaba
87,182,Fall,Fall,0,0,Victor,Urgiles,Martin L. King-PSAL,MLKP,Jeremiah,Paul,Gaynor Campus - PSAL,GCP,12,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Victor Urgiles,Jeremiah Paul
88,152,Fall,Fall,0,0,Jack,Reusing,Brooklyn Technical-PSAL,BTP,Gerrald,Sapeg,George Washington-PSAL,GWP,9,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jack Reusing,Gerrald Sapeg
89,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Kadeem,Nibbs,Grand Street Campus-PSAL,GSCP,3,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Mian Hamid,Kadeem Nibbs
90,120,Fall,Fall,0,0,Isaias,Torres,Grand Street Campus-PSAL,GSCP,Jason,Myers,Martin L. King-PSAL,MLKP,4,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Isaias Torres,Jason Myers
91,120,Fall,Fall,0,0,Isaias,Torres,Grand Street Campus-PSAL,GSCP,Jeffrey,Molina,Seward Park - PSAL,SPK,4,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Isaias Torres,Jeffrey Molina
92,120,Fall,Fall,0,0,Isaias,Torres,Grand Street Campus-PSAL,GSCP,Timur,Ulmasov,Franklin D Roosevelt-PSAL,FDRP,4,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Isaias Torres,Timur Ulmasov
93,120,Technical Fall,TF,16,1,Isaias,Torres,Grand Street Campus-PSAL,GSCP,Eric,Silva,Tottenville-PSAL,TOPS,4,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Isaias Torres,Eric Silva
94,132,Fall,Fall,0,0,Jayden,Cardenas,Grand Street Campus-PSAL,GSCP,Bryan,Zen,Seward Park - PSAL,SPK,6,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jayden Cardenas,Bryan Zen
95,132,Fall,Fall,0,0,Jayden,Cardenas,Grand Street Campus-PSAL,GSCP,Destan,Mcfarlane,Curtis-PSAL,CUPS,6,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jayden Cardenas,Destan Mcfarlane
96,132,Technical Fall,TF,22,7,Jayden,Cardenas,Grand Street Campus-PSAL,GSCP,Daniel,Butavicius,Tottenville-PSAL,TOPS,6,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Jayden Cardenas,Daniel Butavicius
97,138,,,0,0,Guy,Rozenman,Tottenville-PSAL,TOPS,Stanley,Edouard,Grand Street Campus-PSAL,GSCP,7,Champ. Round 3,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Guy Rozenman,Stanley Edouard
98,138,Decision,Dec,3,10,Joseph,Perez,Martin L. King-PSAL,MLKP,Stanley,Edouard,Grand Street Campus-PSAL,GSCP,7,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Joseph Perez,Stanley Edouard
99,138,Decision,Dec,6,4,Guy,Rozenman,Tottenville-PSAL,TOPS,Stanley,Edouard,Grand Street Campus-PSAL,GSCP,7,Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Guy Rozenman,Stanley Edouard
100,145,Technical Fall,TF,18,1,Marquis,Larmond,Grand Street Campus-PSAL,GSCP,Joshua,Diaz,Maspeth - PSAL,MAPS,8,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Marquis Larmond,Joshua Diaz
101,145,Fall,Fall,0,0,Marquis,Larmond,Grand Street Campus-PSAL,GSCP,Matthew,Cherny,McKee-Staten Island Tech-PSAL,MSIT,8,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Marquis Larmond,Matthew Cherny
102,145,Decision,Dec,5,1,Marquis,Larmond,Grand Street Campus-PSAL,GSCP,Marc,Kleyman,James Madison-PSAL,JMP,8,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,Marquis Larmond,Marc Kleyman
